"","V1"
"225",0
"226",0
"227",1
"228",0
"229",1
"230",0
"231",1
"232",0
"233",0
"234",1
"235",1
"236",0
"237",0
"238",0
"239",0
"240",1
"241",1
"242",1
"243",1
"244",1
"245",0
"246",0
"247",1
"248",0
"249",1
"250",0
"251",1
"252",0
"253",1
"254",0
"255",1
"256",0
"257",1
"258",0
"259",0
"260",1
"261",0
"262",0
"263",1
"264",0
"265",0
"266",1
"267",1
"268",0
"269",1
"270",0
"271",1
"272",1
"273",0
"274",1
"275",1
"276",1
"277",1
"278",0
"279",0
"280",0
"281",0
"282",0
"283",1
"284",0
"285",0
"286",0
"287",0
"288",0
"289",1
"290",0
"291",1
"292",1
"293",0
"294",0
"295",0
"296",1
"297",0
"298",0
"299",0
"300",0
"301",0
"302",1
"303",0
"304",0
"305",0
"306",1
"307",1
"308",1
"309",0
"310",0
"311",0
"312",0
"313",0
"314",0
"315",0
"316",0
"317",1
"318",0
"319",0
"320",1
"321",0
"322",1
"323",1
"324",1
"325",0
"326",0
"327",1
"328",0
"329",1
"330",0
"331",1
"332",0
"333",1
"334",0
"335",1
"336",1
"337",0
"338",1
"339",0
"340",1
"341",0
"342",1
"343",1
"344",0
"345",1
"346",0
"347",1
"348",1
"349",0
"350",0
"351",1
"352",1
"353",0
"354",1
"355",0
"356",1
"357",0
"358",0
"359",1
"360",0
"361",1
"362",1
"363",1
"364",1
"365",1
"366",0
"367",0
"368",1
"369",0
"370",0
"371",0
"372",0
"373",0
"374",1
"375",0
"376",1
"377",0
"378",0
"379",1
"380",0
"381",0
"382",1
"383",0
"384",0
"385",0
"386",0
"387",0
"388",1
"389",1
"390",0
"391",0
"392",0
"393",0
"394",0
"395",1
"396",1
"397",1
"398",1
"399",1
"400",0
"401",1
"402",1
"403",1
"404",1
"405",1
"406",1
"407",1
"408",1
"409",0
"410",1
"411",1
"412",0
"413",1
"414",1
"415",1
"416",0
"417",0
"418",0
"419",0
"420",1
"421",1
"422",1
"423",1
"424",1
"425",0
"426",0
"427",1
"428",1
"429",0
"430",1
"431",1
"432",1
"433",0
"434",1
"435",1
"436",0
"437",0
"438",0
"439",0
"440",1
"441",0
"442",0
"443",0
"444",0
"445",0
"446",0
"447",0
"448",0
"449",0
"450",0
"451",1
"452",0
"453",0
"454",1
"455",0
"456",0
"457",1
"458",0
"459",1
"460",0
"461",1
"462",0
"463",0
"464",0
"465",1
"466",0
"467",0
"468",0
"469",0
"470",0
"471",0
"472",1
"473",0
"474",1
"475",0
"476",1
"477",0
"478",1
"479",0
"480",0
"481",0
"482",0
"483",0
"484",0
"485",1
"486",1
"487",0
"488",0
"489",0
"490",0
"491",0
"492",0
"493",1
"494",0
"495",1
"496",1
"497",1
"498",1
"499",1
"500",0
"501",0
"502",1
"503",0
"504",0
"505",1
"506",0
"507",1
"508",0
"509",0
"510",1
"511",0
"512",1
"513",1
"514",1
"515",1
"516",0
"517",0
"518",1
"519",1
"520",0
"521",1
"522",1
"523",1
"524",0
"525",1
"526",0
"527",0
"528",1
"529",0
"530",1
"531",1
"532",1
"533",0
"534",1
"535",0
"536",0
"537",0
"538",1
"539",1
"540",0
"541",0
"542",1
"543",0
"544",0
"545",1
"546",0
"547",0
"548",0
"549",1
"550",1
"551",1
"552",0
"553",1
"554",1
"555",1
"556",0
"557",1
"558",0
"559",0
"560",0
"561",0
"562",0
"563",0
"564",0
"565",1
"566",1
"567",0
"568",1
"569",1
"570",0
"571",0
"572",0
"573",0
"574",0
"575",1
"576",1
"577",1
"578",1
"579",0
"580",1
"581",0
"582",1
"583",0
"584",0
"585",0
"586",1
"587",0
"588",1
"589",1
"590",0
"591",1
"592",1
"593",0
"594",0
"595",0
"596",1
"597",0
"598",0
"599",0
"600",1
"601",0
"602",1
"603",1
"604",1
"605",0
"606",1
"607",1
"608",1
"609",1
"610",0
"611",0
"612",1
"613",0
"614",0
"615",0
"616",0
"617",0
"618",0
"619",0
"620",1
"621",1
"622",1
"623",0
"624",0
"625",1
"626",1
"627",0
"628",1
"629",1
"630",0
"631",0
"632",0
"633",1
"634",1
"635",1
"636",0
"637",0
"638",1
"639",0
"640",1
"641",1
"642",1
"643",0
"644",0
"645",0
"646",1
"647",0
"648",1
"649",0
"650",0
"651",1
"652",1
"653",0
"654",0
"655",0
"656",1
"657",1
"658",1
"659",1
"660",1
"661",1
"662",0
"663",1
"664",0
"665",0
"666",0
"667",0
"668",1
"669",1
"670",0
"671",1
"672",0
"673",1
"674",0
"675",0
"676",0
"677",0
"678",1
"679",1
"680",0
"681",1
"682",0
"683",1
"684",0
"685",0
"686",1
"687",1
"688",0
"689",1
"690",1
"691",0
"692",1
"693",0
"694",0
"695",1
"696",0
"697",0
"698",0
"699",1
"700",0
"701",1
"702",0
"703",1
"704",0
"705",0
"706",0
"707",0
"708",0
"709",1
"710",0
"711",1
"712",0
"713",0
"714",1
"715",1
"716",1
"717",1
"718",0
"719",0
"720",1
"721",0
"722",1
"723",1
"724",1
"725",1
"726",0
"727",1
"728",0
"729",0
"730",1
"731",1
"732",0
"733",1
"734",1
"735",0
"736",0
"737",0
"738",0
"739",0
"740",1
"741",0
"742",1
"743",0
"744",1
"745",1
"746",0
"747",0
"748",1
"749",0
"750",1
"751",1
"752",0
"753",1
"754",0
"755",0
"756",1
"757",0
"758",0
"759",1
"760",0
"761",0
"762",0
"763",0
"764",1
"765",0
"766",1
"767",0
"768",0
"769",0
"770",0
"771",1
"772",1
"773",1
"774",1
"775",0
"776",0
"777",1
"778",0
"779",0
"780",1
"781",0
"782",0
"783",1
"784",0
"785",0
"786",1
"787",1
"788",0
"789",0
"790",0
"791",1
"792",1
"793",0
"794",0
"795",1
"796",1
"797",1
"798",1
"799",1
"800",1
"801",0
"802",0
"803",0
"804",0
"805",1
"806",1
"807",1
"808",0
"809",1
"810",0
"811",0
"812",0
"813",0
"814",1
"815",0
"816",0
"817",1
"818",1
"819",1
"820",0
"821",1
"822",0
"823",1
"824",0
"825",0
"826",1
"827",1
"828",0
"829",1
"830",0
"831",0
"832",1
"833",0
"834",0
"835",1
"836",0
"837",1
"838",0
"839",1
"840",1
"841",1
"842",0
"843",1
"844",1
"845",0
"846",0
"847",0
"848",1
"849",1
"850",0
"851",0
"852",0
"853",0
"854",0
"855",0
"856",0
"857",0
"858",0
"859",1
"860",0
"861",1
"862",0
"863",1
"864",1
"865",0
"866",1
"867",1
"868",0
"869",0
"870",1
"871",1
"872",0
"873",0
"874",0
"875",0
"876",1
"877",0
"878",1
"879",0
"880",1
"881",0
"882",1
"883",0
"884",1
"885",1
"886",1
"887",0
"888",0
"889",0
"890",1
"891",1
"892",0
"893",0
"894",0
"895",1
"896",0
"897",1
"898",0
"899",1
"900",0
"901",0
"902",0
"903",0
"904",0
"905",1
"906",0
"907",1
"908",1
"909",0
"910",0
"911",1
"912",1
"913",0
"914",1
"915",0
"916",0
"917",1
"918",1
"919",0
"920",1
"921",1
"922",0
"923",0
"924",1
"925",1
"926",0
"927",0
"928",0
"929",0
"930",0
"931",1
"932",0
"933",0
"934",1
"935",1
"936",0
"937",0
"938",0
"939",1
"940",1
"941",0
"942",1
"943",1
"944",1
"945",1
"946",1
"947",1
"948",1
"949",0
"950",0
"951",0
"952",1
"953",0
"954",0
"955",1
"956",0
"957",0
"958",0
"959",0
"960",0
"961",1
"962",0
"963",0
"964",1
"965",0
"966",1
"967",0
"968",0
"969",1
"970",1
"971",1
"972",0
"973",1
"974",1
"975",1
"976",0
"977",1
"978",1
"979",1
"980",0
"981",0
"982",1
"983",0
"984",0
"985",0
"986",1
"987",1
"988",1
"989",1
"990",0
"991",0
"992",1
"993",0
"994",1
"995",1
"996",0
"997",0
"998",0
"999",1
"1000",1
"1001",0
"1002",0
"1003",0
"1004",1
"1005",0
"1006",0
"1007",1
"1008",1
"1009",1
"1010",0
"1011",0
"1012",0
"1013",0
"1014",1
"1015",0
"1016",0
"1017",1
"1018",0
"1019",1
"1020",0
"1021",1
"1022",0
"1023",0
"1024",0
"1025",1
"1026",1
"1027",1
"1028",1
"1029",1
"1030",0
"1031",0
"1032",0
"1033",1
"1034",1
"1035",0
"1036",1
"1037",1
"1038",0
"1039",0
"1040",0
"1041",0
"1042",1
"1043",1
"1044",0
"1045",0
"1046",0
"1047",0
"1048",0
"1049",1
"1050",0
"1051",0
"1052",1
"1053",1
"1054",1
"1055",0
"1056",1
"1057",0
"1058",0
"1059",1
"1060",1
"1061",0
"1062",0
"1063",1
"1064",1
"1065",1
"1066",0
"1067",1
"1068",1
"1069",0
"1070",0
"1071",1
"1072",1
"1073",1
"1074",0
"1075",0
"1076",0
"1077",1
"1078",0
"1079",1
"1080",0
"1081",0
"1082",1
"1083",0
"1084",0
"1085",1
"1086",1
"1087",0
"1088",0
"1089",0
"1090",1
"1091",0
"1092",1
"1093",1
"1094",0
"1095",1
"1096",1
"1097",0
"1098",0
"1099",1
"1100",1
"1101",1
"1102",0
"1103",0
"1104",1
"1105",1
"1106",1
"1107",0
"1108",1
"1109",0
"1110",1
"1111",1
"1112",0
"1113",0
"1114",1
"1115",0
"1116",0
"1117",0
"1118",1
"1119",0
"1120",1
"1121",1
"1122",1
"1123",1
"1124",1
"1125",0
"1126",0
"1127",0
"1128",0
"1129",1
"1130",1
"1131",0
"1132",1
"1133",0
"1134",0
"1135",0
"1136",1
"1137",0
"1138",1
"1139",0
"1140",1
"1141",1
"1142",1
"1143",0
"1144",0
"1145",0
"1146",1
"1147",1
"1148",0
"1149",1
"1150",1
"1151",0
"1152",1
"1153",0
"1154",0
"1155",0
"1156",0
"1157",0
"1158",0
"1159",0
"1160",0
"1161",0
"1162",0
"1163",0
"1164",0
"1165",0
"1166",1
"1167",0
"1168",1
"1169",1
"1170",0
"1171",0
"1172",0
"1173",1
"1174",0
"1175",1
"1176",1
"1177",1
"1178",0
"1179",0
"1180",0
"1181",1
"1182",1
"1183",1
"1184",1
"1185",0
"1186",0
"1187",1
"1188",1
"1189",1
"1190",0
"1191",0
"1192",0
"1193",0
"1194",0
"1195",0
"1196",0
"1197",0
"1198",0
"1199",0
"1200",0
"1201",0
"1202",0
"1203",1
"1204",1
"1205",1
"1206",1
"1207",1
"1208",0
"1209",0
"1210",1
"1211",1
"1212",0
"1213",1
"1214",0
"1215",1
"1216",0
"1217",1
"1218",0
"1219",0
"1220",0
"1221",0
"1222",1
"1223",0
"1224",1
"1225",0
"1226",1
"1227",1
"1228",1
"1229",1
"1230",1
"1231",1
"1232",1
"1233",0
"1234",0
"1235",0
"1236",1
"1237",1
"1238",0
"1239",0
"1240",0
"1241",0
"1242",1
"1243",0
"1244",1
"1245",0
"1246",1
"1247",0
"1248",0
"1249",0
"1250",1
"1251",0
"1252",1
"1253",1
"1254",0
"1255",0
"1256",0
"1257",1
"1258",0
"1259",1
"1260",0
"1261",1
"1262",1
"1263",0
"1264",0
"1265",0
"1266",0
"1267",0
"1268",0
"1269",0
"1270",0
"1271",0
"1272",0
"1273",1
"1274",0
"1275",0
"1276",0
"1277",1
"1278",1
"1279",0
"1280",0
"1281",1
"1282",1
"1283",1
"1284",0
"1285",0
"1286",0
"1287",0
"1288",0
"1289",0
"1290",0
"1291",0
"1292",0
"1293",1
"1294",1
"1295",1
"1296",1
"1297",1
"1298",0
"1299",1
"1300",1
"1301",1
"1302",1
"1303",0
"1304",0
"1305",1
"1306",0
"1307",1
"1308",0
"1309",0
"1310",1
"1311",1
"1312",1
"1313",1
"1314",0
"1315",0
"1316",1
"1317",1
"1318",1
"1319",0
"1320",1
"1321",0
"1322",0
"1323",0
"1324",0
"1325",1
"1326",1
"1327",0
"1328",0
"1329",1
"1330",0
"1331",0
"1332",1
"1333",0
"1334",0
"1335",0
"1336",0
"1337",0
"1338",1
"1339",0
"1340",1
"1341",0
"1342",1
"1343",1
"1344",0
"1345",1
"1346",0
"1347",1
"1348",0
"1349",1
"1350",0
"1351",1
"1352",1
"1353",1
"1354",0
"1355",0
"1356",0
"1357",0
"1358",0
"1359",1
"1360",0
"1361",0
"1362",1
"1363",1
"1364",0
"1365",0
"1366",1
"1367",1
"1368",1
"1369",1
"1370",1
"1371",1
"1372",0
"1373",1
"1374",0
"1375",0
"1376",1
"1377",0
"1378",1
"1379",0
"1380",1
"1381",0
"1382",1
"1383",0
"1384",1
"1385",1
"1386",0
"1387",0
"1388",0
"1389",0
"1390",0
"1391",0
"1392",1
"1393",1
"1394",0
"1395",0
"1396",1
"1397",0
"1398",0
"1399",1
"1400",1
"1401",0
"1402",0
"1403",1
"1404",1
"1405",0
"1406",1
"1407",0
"1408",1
"1409",0
"1410",0
"1411",0
"1412",1
"1413",0
"1414",0
"1415",0
"1416",1
"1417",1
"1418",1
"1419",0
"1420",0
"1421",0
"1422",0
"1423",0
"1424",0
"1425",0
"1426",0
"1427",1
"1428",0
"1429",0
"1430",0
"1431",1
"1432",1
"1433",0
"1434",0
"1435",0
"1436",0
"1437",0
"1438",1
"1439",0
"1440",0
"1441",0
"1442",1
"1443",1
"1444",0
"1445",1
"1446",1
"1447",0
"1448",0
"1449",0
"1450",1
"1451",0
"1452",1
"1453",1
"1454",1
"1455",0
"1456",1
"1457",1
"1458",0
"1459",0
"1460",1
"1461",1
"1462",1
"1463",0
"1464",0
"1465",0
"1466",1
"1467",0
"1468",0
"1469",0
"1470",1
"1471",1
"1472",0
"1473",1
"1474",1
"1475",0
"1476",1
"1477",0
"1478",0
"1479",0
"1480",1
"1481",1
"1482",0
"1483",0
"1484",1
"1485",1
"1486",1
"1487",1
"1488",0
"1489",1
"1490",1
"1491",0
"1492",0
"1493",1
"1494",1
"1495",0
"1496",1
"1497",0
"1498",1
"1499",0
"1500",0
"1501",0
"1502",0
"1503",1
"1504",0
"1505",0
"1506",0
"1507",0
"1508",1
"1509",0
"1510",0
"1511",0
"1512",0
"1513",1
"1514",0
"1515",0
"1516",1
"1517",1
"1518",0
"1519",1
"1520",1
"1521",0
"1522",0
"1523",1
"1524",1
"1525",0
"1526",0
"1527",0
"1528",0
"1529",1
"1530",0
"1531",1
"1532",1
"1533",0
"1534",0
"1535",0
"1536",0
"1537",1
"1538",1
"1539",1
"1540",0
"1541",0
"1542",0
"1543",1
"1544",0
"1545",1
"1546",0
"1547",0
"1548",1
"1549",1
"1550",1
"1551",1
"1552",0
"1553",0
"1554",1
"1555",1
"1556",1
"1557",0
"1558",0
"1559",0
"1560",1
"1561",1
"1562",1
"1563",1
"1564",0
"1565",0
"1566",1
"1567",1
"1568",0
"1569",1
"1570",1
"1571",1
"1572",0
"1573",0
"1574",0
"1575",0
"1576",0
"1577",1
"1578",1
"1579",0
"1580",1
"1581",1
"1582",0
"1583",1
"1584",0
"1585",0
"1586",1
"1587",0
"1588",1
"1589",1
"1590",1
"1591",0
"1592",0
"1593",0
"1594",0
"1595",1
"1596",1
"1597",0
"1598",0
"1599",0
"1600",1
"1601",0
"1602",0
"1603",0
"1604",0
"1605",0
"1606",1
"1607",0
"1608",0
"1609",1
"1610",1
"1611",1
"1612",1
"1613",0
"1614",1
"1615",1
"1616",0
"1617",0
"1618",0
"1619",1
"1620",0
"1621",0
"1622",1
"1623",1
"1624",0
"1625",0
"1626",0
"1627",0
"1628",0
"1629",0
"1630",1
"1631",0
"1632",0
"1633",0
"1634",0
"1635",1
"1636",0
"1637",0
"1638",1
"1639",0
"1640",0
"1641",0
"1642",0
"1643",1
"1644",0
"1645",0
"1646",0
"1647",0
"1648",0
"1649",0
"1650",0
"1651",0
"1652",0
"1653",0
"1654",1
"1655",0
"1656",1
"1657",1
"1658",1
"1659",0
"1660",0
"1661",1
"1662",0
"1663",0
"1664",1
"1665",0
"1666",0
"1667",1
"1668",1
"1669",1
"1670",1
"1671",0
"1672",0
"1673",0
"1674",0
"1675",0
"1676",0
"1677",1
"1678",1
"1679",1
"1680",0
"1681",1
"1682",0
"1683",0
"1684",0
"1685",1
"1686",1
"1687",0
"1688",0
"1689",1
"1690",1
"1691",0
"1692",1
"1693",0
"1694",1
"1695",1
"1696",0
"1697",0
"1698",1
"1699",0
"1700",0
"1701",0
"1702",1
"1703",1
"1704",0
"1705",1
"1706",0
"1707",0
"1708",1
"1709",1
"1710",0
"1711",0
"1712",1
"1713",0
"1714",0
"1715",1
"1716",1
"1717",1
"1718",1
"1719",0
"1720",0
"1721",0
"1722",0
"1723",1
"1724",0
"1725",0
"1726",1
"1727",1
"1728",0
"1729",0
"1730",0
"1731",0
"1732",0
"1733",0
"1734",1
"1735",1
"1736",0
"1737",1
"1738",1
"1739",0
"1740",1
"1741",1
"1742",0
"1743",1
"1744",1
"1745",1
"1746",0
"1747",0
"1748",0
"1749",1
"1750",1
"1751",0
"1752",0
"1753",0
"1754",0
"1755",0
"1756",1
"1757",0
"1758",1
"1759",1
"1760",1
"1761",0
"1762",0
"1763",0
"1764",0
"1765",0
"1766",1
"1767",1
"1768",1
"1769",0
"1770",0
"1771",1
"1772",0
"1773",1
"1774",0
"1775",1
"1776",1
"1777",1
"1778",0
"1779",0
"1780",0
"1781",0
"1782",0
"1783",1
"1784",1
"1785",0
"1786",0
"1787",1
"1788",0
"1789",0
"1790",0
"1791",1
"1792",0
"1793",1
"1794",1
"1795",1
"1796",0
"1797",0
"1798",1
"1799",1
"1800",0
"1801",1
"1802",1
"1803",1
"1804",1
"1805",0
"1806",0
"1807",0
"1808",0
"1809",0
"1810",0
"1811",0
"1812",0
"1813",0
"1814",0
"1815",1
"1816",0
"1817",1
"1818",1
"1819",0
"1820",0
"1821",1
"1822",0
"1823",1
"1824",1
"1825",1
"1826",1
"1827",0
"1828",0
"1829",1
"1830",0
"1831",1
"1832",1
"1833",1
"1834",1
"1835",0
"1836",1
"1837",0
"1838",0
"1839",1
"1840",1
"1841",0
"1842",1
"1843",0
"1844",0
"1845",0
"1846",0
"1847",1
"1848",0
"1849",0
"1850",0
"1851",1
"1852",0
"1853",1
"1854",0
"1855",0
"1856",1
"1857",1
"1858",1
"1859",1
"1860",0
"1861",0
"1862",0
"1863",1
"1864",0
"1865",1
"1866",0
"1867",0
"1868",0
"1869",0
"1870",1
"1871",0
"1872",0
"1873",0
"1874",1
"1875",1
"1876",0
"1877",1
"1878",1
"1879",0
"1880",1
"1881",0
"1882",1
"1883",1
"1884",1
"1885",0
"1886",1
"1887",1
"1888",0
"1889",0
"1890",1
"1891",0
"1892",1
"1893",0
"1894",0
"1895",0
"1896",0
"1897",0
"1898",0
"1899",1
"1900",0
"1901",1
"1902",0
"1903",0
"1904",1
"1905",1
"1906",1
"1907",0
"1908",1
"1909",0
"1910",1
"1911",1
"1912",1
"1913",1
"1914",1
"1915",0
"1916",0
"1917",0
"1918",1
"1919",1
"1920",0
"1921",0
"1922",0
"1923",1
"1924",0
"1925",1
"1926",1
"1927",0
"1928",1
"1929",1
"1930",1
"1931",0
"1932",1
"1933",1
"1934",1
"1935",0
"1936",0
"1937",1
"1938",0
"1939",0
"1940",0
"1941",0
"1942",0
"1943",0
"1944",0
"1945",1
"1946",1
"1947",0
"1948",0
"1949",0
"1950",0
"1951",0
"1952",0
"1953",1
"1954",0
"1955",0
"1956",0
"1957",0
"1958",1
"1959",1
"1960",1
"1961",0
"1962",0
"1963",0
"1964",1
"1965",0
"1966",1
"1967",0
"1968",0
"1969",1
"1970",1
"1971",1
"1972",0
"1973",1
"1974",0
"1975",1
"1976",0
"1977",1
"1978",0
"1979",0
"1980",1
"1981",0
"1982",1
"1983",0
"1984",0
"1985",0
"1986",1
"1987",1
"1988",0
"1989",0
"1990",0
"1991",0
"1992",0
"1993",1
"1994",0
"1995",1
"1996",1
"1997",0
"1998",0
"1999",0
"2000",1
"2001",0
"2002",0
"2003",1
"2004",0
"2005",1
"2006",1
"2007",0
"2008",1
"2009",1
"2010",1
"2011",1
"2012",0
"2013",1
"2014",1
"2015",1
"2016",1
"2017",0
"2018",0
"2019",0
"2020",0
"2021",1
"2022",0
"2023",0
"2024",0
"2025",0
"2026",1
"2027",0
"2028",0
"2029",1
"2030",0
"2031",0
"2032",0
"2033",1
"2034",1
"2035",1
"2036",0
"2037",0
"2038",0
"2039",0
"2040",1
"2041",1
"2042",0
"2043",0
"2044",0
"2045",0
"2046",0
"2047",0
"2048",0
"2049",0
"2050",1
"2051",1
"2052",0
"2053",0
"2054",0
"2055",0
"2056",0
"2057",1
"2058",1
"2059",0
"2060",1
"2061",0
"2062",1
"2063",0
"2064",0
"2065",1
"2066",0
"2067",0
"2068",1
"2069",1
"2070",0
"2071",1
"2072",1
"2073",0
"2074",0
"2075",0
"2076",0
"2077",1
"2078",1
"2079",0
"2080",0
"2081",0
"2082",1
"2083",0
"2084",1
"2085",1
"2086",1
"2087",0
"2088",1
"2089",0
"2090",1
"2091",0
"2092",0
"2093",0
"2094",0
"2095",0
"2096",1
"2097",0
"2098",0
"2099",1
"2100",1
"2101",1
"2102",0
"2103",1
"2104",0
"2105",0
"2106",0
"2107",0
"2108",0
"2109",0
"2110",0
"2111",0
"2112",1
"2113",0
"2114",0
"2115",1
"2116",1
"2117",0
"2118",0
"2119",1
"2120",1
"2121",1
"2122",0
"2123",1
"2124",1
"2125",1
"2126",0
"2127",0
"2128",0
"2129",1
"2130",1
"2131",0
"2132",0
"2133",0
"2134",1
"2135",1
"2136",0
"2137",0
"2138",1
"2139",0
"2140",0
"2141",0
"2142",0
"2143",0
"2144",0
"2145",0
"2146",0
"2147",1
"2148",1
"2149",1
"2150",0
"2151",1
"2152",1
"2153",1
"2154",0
"2155",1
"2156",0
"2157",0
"2158",1
"2159",0
"2160",1
"2161",0
"2162",0
"2163",0
"2164",0
"2165",0
"2166",0
"2167",1
"2168",0
"2169",0
"2170",0
"2171",1
"2172",0
"2173",0
"2174",0
"2175",1
"2176",0
"2177",0
"2178",0
"2179",0
"2180",1
"2181",0
"2182",0
"2183",1
"2184",0
"2185",0
"2186",0
"2187",1
"2188",0
"2189",1
"2190",1
"2191",0
"2192",0
"2193",0
"2194",0
"2195",1
"2196",0
"2197",0
"2198",0
"2199",0
"2200",0
"2201",0
"2202",1
"2203",0
"2204",0
"2205",0
"2206",1
"2207",1
"2208",1
"2209",0
"2210",1
"2211",0
"2212",0
"2213",1
"2214",0
"2215",0
"2216",0
"2217",0
"2218",1
"2219",0
"2220",1
"2221",0
"2222",0
"2223",0
"2224",0
"2225",0
"2226",0
"2227",1
"2228",0
"2229",1
"2230",1
"2231",0
"2232",0
"2233",1
"2234",1
"2235",0
"2236",0
"2237",0
"2238",0
"2239",1
"2240",0
"2241",1
"2242",0
"2243",0
"2244",0
"2245",0
"2246",1
"2247",1
"2248",0
"2249",0
"2250",1
"2251",1
"2252",1
"2253",0
"2254",1
"2255",0
"2256",0
"2257",1
"2258",1
"2259",0
"2260",0
"2261",1
"2262",0
"2263",1
"2264",0
"2265",1
"2266",0
"2267",1
"2268",0
"2269",0
"2270",0
"2271",0
"2272",0
"2273",0
"2274",1
"2275",1
"2276",1
"2277",1
"2278",0
"2279",0
"2280",0
"2281",1
"2282",1
"2283",1
"2284",0
"2285",0
"2286",0
"2287",1
"2288",0
"2289",1
"2290",1
"2291",0
"2292",0
"2293",0
"2294",0
"2295",0
"2296",0
"2297",0
"2298",1
"2299",0
"2300",1
"2301",1
"2302",1
"2303",0
"2304",0
"2305",0
"2306",1
"2307",0
"2308",1
"2309",1
"2310",0
"2311",0
"2312",1
"2313",0
"2314",0
"2315",1
"2316",0
"2317",0
"2318",0
"2319",0
"2320",0
"2321",1
"2322",1
"2323",0
"2324",1
"2325",1
"2326",1
"2327",1
"2328",1
"2329",0
"2330",1
"2331",0
"2332",0
"2333",0
"2334",0
"2335",1
"2336",1
"2337",0
"2338",0
"2339",0
"2340",0
"2341",1
"2342",0
"2343",0
"2344",1
"2345",1
"2346",0
"2347",0
"2348",0
"2349",0
"2350",0
"2351",0
"2352",0
"2353",0
"2354",0
"2355",0
"2356",1
"2357",1
"2358",1
"2359",0
"2360",0
"2361",0
"2362",0
"2363",0
"2364",0
"2365",0
"2366",1
"2367",0
"2368",0
"2369",0
"2370",0
"2371",1
"2372",1
"2373",1
"2374",1
"2375",1
"2376",0
"2377",1
"2378",0
"2379",1
"2380",1
"2381",1
"2382",0
"2383",0
"2384",1
"2385",1
"2386",0
"2387",1
"2388",0
"2389",1
"2390",0
"2391",0
"2392",0
"2393",0
"2394",1
"2395",0
"2396",1
"2397",0
"2398",1
"2399",0
"2400",1
"2401",1
"2402",1
"2403",1
"2404",1
"2405",1
"2406",1
"2407",1
"2408",1
"2409",0
"2410",0
"2411",0
"2412",1
"2413",1
"2414",0
"2415",1
"2416",0
"2417",0
"2418",0
"2419",1
"2420",0
"2421",1
"2422",1
"2423",1
"2424",1
"2425",0
"2426",1
"2427",0
"2428",1
"2429",0
"2430",0
"2431",0
"2432",0
"2433",1
"2434",0
"2435",1
"2436",1
"2437",0
"2438",1
"2439",1
"2440",0
"2441",1
"2442",0
"2443",1
"2444",1
"2445",0
"2446",1
"2447",1
"2448",0
"2449",0
"2450",0
"2451",0
"2452",1
"2453",1
"2454",0
"2455",0
"2456",1
"2457",1
"2458",1
"2459",0
"2460",0
"2461",1
"2462",1
"2463",1
"2464",1
"2465",1
"2466",0
"2467",1
"2468",0
"2469",1
"2470",1
"2471",1
"2472",0
"2473",0
"2474",0
"2475",1
"2476",0
"2477",1
"2478",0
"2479",0
"2480",0
"2481",1
"2482",0
"2483",0
"2484",1
"2485",1
"2486",0
"2487",1
"2488",1
"2489",0
"2490",0
"2491",0
"2492",1
"2493",1
"2494",1
"2495",1
"2496",1
"2497",1
